79995.15,80,55232.12,55.23,24763.04,24.76,736559.88,736.56,436320.73,436.32,300239.15,300.24,656564.72,656.56,381088.61,381.09,275476.11,275.48,73804.91,35.33,485249.05,485.25,0.25,0.469,1.122,1.145,1.09,23,16,23,0,0,47787.62,18623.23,29164.39,286,116,170,0,0,0,153,61,92,133,55,78,53.5,52.59,54.12,279.7,0.28,476.14,0.48,145.66,0.15,4814.12,4.81,7152.8,7.15,3263.47,3.26,4936.58,4.94,6928.88,6.93,3531.74,3.53,0.975,1.032,0.924,11327.19,4.71,11327.19,4.71,4529.09,1.93,10323.49,7.4,10323.49,4.13,9175.64,7.4,56,109,20,62,125,21,48,92,18,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.8,1.9,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
19992.34,19.99,-4031.25,-4.03,24023.59,24.02,462420.09,462.42,220971.14,220.97,241448.95,241.45,442427.75,442.43,225002.39,225,217425.36,217.43,44551.76,28.66,485248.91,485.25,0.109,0.178,1.045,0.982,1.11,21,17,21,0,0,39085.22,20794.82,18290.4,335,181,154,0,0,0,150,43,107,185,138,47,44.78,23.76,69.48,59.68,0.06,-22.27,-0.02,156,0.16,3082.8,3.08,5138.86,5.14,2256.53,2.26,2391.5,2.39,1630.45,1.63,4626.07,4.63,1.289,3.152,0.488,7017.4,4.71,7017.4,4.71,2799.71,1.93,8559.13,7.4,2954.13,2.82,8559.13,7.4,41,40,42,44,73,33,39,30,64,0,0,0,true,true,"Fixed Percent","Fixed Percent",1.3,4.8,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
78793.53,78.79,46594.73,46.59,32198.8,32.2,727884.87,727.88,365543.56,365.54,362341.31,362.34,649091.34,649.09,318948.83,318.95,330142.51,330.14,51636.03,31.31,484715.1,484.72,0.218,0.447,1.121,1.146,1.098,23,19,23,0,0,32761.41,15594.87,17166.55,222,112,110,0,0,0,114,59,55,108,53,55,51.35,52.68,50,354.93,0.35,416.02,0.42,292.72,0.29,6384.95,6.38,6195.65,6.2,6588.02,6.59,6010.1,6.01,6017.9,6.02,6002.59,6,1.062,1.03,1.098,9681.15,4.71,9681.15,4.71,8707.6,4.21,9178.98,7.4,8823.39,4.13,9178.98,7.4,87,98,76,86,110,60,88,85,91,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.8,3.7,4.3,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
58532.85,58.53,47818.48,47.82,10714.37,10.71,676959.66,676.96,353714.97,353.71,323244.69,323.24,618426.81,618.43,305896.49,305.9,312530.32,312.53,52217.76,30.72,485230.48,485.23,0.185,0.357,1.095,1.156,1.034,23,18,23,0,0,31401.91,15024.96,16376.95,223,112,111,0,0,0,115,59,56,108,53,55,51.57,52.68,50.45,262.48,0.26,426.95,0.43,96.53,0.1,5886.61,5.89,5995.17,6,5772.23,5.77,5726.17,5.73,5771.63,5.77,5682.37,5.68,1.028,1.039,1.016,9082.23,4.71,9082.23,4.71,7587.7,3.91,9073.81,7.4,8240.83,4.13,9073.81,7.4,86,98,74,86,110,61,86,85,87,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.8,3.7,4,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
11129.78,11.13,-10083.41,-10.08,21213.19,21.21,430762.97,430.76,202793.08,202.79,227969.89,227.97,419633.2,419.63,212876.49,212.88,206756.7,206.76,39480.44,27.57,485318.97,485.32,0.071,0.118,1.027,0.953,1.103,21,17,21,0,0,38051.88,20750.04,17301.84,343,189,154,0,0,0,149,42,107,194,147,47,43.44,22.22,69.48,32.45,0.03,-53.35,-0.05,137.75,0.14,2891.03,2.89,4828.41,4.83,2130.56,2.13,2163.06,2.16,1448.14,1.45,4399.08,4.4,1.337,3.334,0.484,6465.53,4.71,6465.53,4.71,2589.94,1.93,8628.84,7.4,2872.57,2.82,8628.84,7.4,40,38,42,43,69,33,37,29,64,0,0,0,true,true,"Fixed Percent","Fixed Percent",1.2,4.8,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
127822.79,127.82,66101.94,66.1,61720.85,61.72,799513.52,799.51,447348.55,447.35,352164.97,352.16,671690.73,671.69,381246.61,381.25,290444.12,290.44,67314.71,25.63,484715.1,484.72,0.318,0.739,1.19,1.173,1.213,25,20,25,0,0,46255.01,20262.07,25992.94,267,122,145,0,0,0,172,69,103,95,53,42,64.42,56.56,71.03,478.74,0.48,541.82,0.54,425.66,0.43,4648.33,4.65,6483.31,6.48,3419.08,3.42,7070.43,7.07,7193.33,7.19,6915.34,6.92,0.657,0.901,0.494,10684.94,4.11,10684.94,4.11,4661.02,1.93,11099.2,7.4,11099.2,4.13,10094.53,7.4,63,91,40,58,96,32,72,83,58,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.2,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
61880.37,61.88,35121.02,35.12,26759.35,26.76,605323.61,605.32,332912.05,332.91,272411.56,272.41,543443.25,543.44,297791.04,297.79,245652.21,245.65,53969.65,30.99,485219.23,485.22,0.192,0.396,1.114,1.118,1.109,23,18,23,-5541.62,-3.42,34025.87,14377.77,19648.1,256,111,145,1,0,1,163,57,106,93,54,39,63.67,51.35,73.1,241.72,0.24,316.41,0.32,184.55,0.18,3713.64,3.71,5840.56,5.84,2569.92,2.57,5843.48,5.84,5514.65,5.51,6298.77,6.3,0.636,1.059,0.408,8649.47,4.71,8649.47,4.71,3293.63,1.93,9351.29,7.4,7883.16,4.13,9351.29,7.4,69,97,47,58,105,33,88,89,87,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.8,4.5,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
143358.02,143.36,77991.42,77.99,65366.6,65.37,845034.7,845.03,475965.41,475.97,369069.28,369.07,701676.67,701.68,397973.99,397.97,303702.68,303.7,71145.48,25.48,485108.1,485.11,0.337,0.803,1.204,1.196,1.215,25,20,25,0,0,48325.79,21098.26,27227.52,267,122,145,0,0,0,172,69,103,95,53,42,64.42,56.56,71.03,536.92,0.54,639.27,0.64,450.8,0.45,4912.99,4.91,6898.05,6.9,3583.2,3.58,7386.07,7.39,7508.94,7.51,7231.02,7.23,0.665,0.919,0.496,11591.41,4.21,11591.41,4.21,4931.25,1.93,11765.16,7.4,11765.16,4.13,10162.61,7.4,63,91,40,59,100,32,70,80,58,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.3,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
83488.37,83.49,53065.34,53.07,30423.03,30.42,737996.4,738,374111.21,374.11,363885.19,363.89,654508.03,654.51,321045.87,321.05,333462.16,333.46,55369.65,36.65,484769.58,484.77,0.226,0.456,1.128,1.165,1.091,24,18,24,0,0,33671.11,16780.37,16890.73,231,122,109,0,0,0,121,68,53,110,54,56,52.38,55.74,48.62,361.42,0.36,434.96,0.43,279.11,0.28,6099.14,6.1,5501.64,5.5,6865.76,6.87,5950.07,5.95,5945.29,5.95,5954.68,5.95,1.025,0.925,1.153,9209.11,4.41,8712.43,4.21,9209.11,4.41,9802.83,7.4,8803.99,4.13,9802.83,7.4,82,87,77,80,92,65,84,80,88,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.3,3.7,4.5,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
149211.94,149.21,83381.09,83.38,65830.86,65.83,830007.42,830.01,464350.19,464.35,365657.23,365.66,680795.48,680.8,380969.1,380.97,299826.38,299.83,72087.75,25.34,484769.17,484.77,0.347,0.827,1.219,1.219,1.22,23,19,23,0,0,47106.89,20151.49,26955.4,264,119,145,0,0,0,170,67,103,94,52,42,64.39,56.3,71.03,565.2,0.57,700.68,0.7,454.01,0.45,4882.4,4.88,6930.6,6.93,3550.07,3.55,7242.51,7.24,7326.33,7.33,7138.72,7.14,0.674,0.946,0.497,12048.26,4.31,12048.26,4.31,5001.66,1.93,11956.01,7.4,11956.01,4.13,10189.42,7.4,64,95,40,61,105,32,71,81,58,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.4,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
185677.3,185.68,100333.61,100.33,85343.68,85.34,916070.22,916.07,516655.45,516.66,399414.77,399.41,730392.92,730.39,416321.84,416.32,314071.08,314.07,48883.4,21.82,484715.1,484.72,0.403,0.979,1.254,1.241,1.272,23,18,23,0,0,50643.43,21547.44,29096,259,116,143,0,0,0,171,68,103,88,48,40,66.02,58.62,72.03,716.9,0.72,864.94,0.86,596.81,0.6,5357.14,5.36,7597.87,7.6,3877.81,3.88,8299.92,8.3,8673.37,8.67,7851.78,7.85,0.645,0.876,0.494,12653.54,4.31,12653.54,4.31,5620.85,1.93,13527.09,7.4,13527.09,4.43,11437.56,7.4,67,100,40,63,110,32,74,86,59,0,0,0,true,true,"Fixed Percent","Fixed Percent",4.3,4.4,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
179896.31,179.9,96649.78,96.65,83246.53,83.25,903712.19,903.71,509980.03,509.98,393732.16,393.73,723815.88,723.82,413330.25,413.33,310485.63,310.49,47008.82,21.67,483951.17,483.95,0.412,0.958,1.249,1.234,1.268,23,19,23,0,0,49755.9,21052.27,28703.62,257,114,143,0,0,0,169,66,103,88,48,40,65.76,57.89,72.03,699.99,0.7,847.81,0.85,582.14,0.58,5347.41,5.35,7726.97,7.73,3822.64,3.82,8225.18,8.23,8611.05,8.61,7762.14,7.76,0.65,0.897,0.492,12661.34,4.41,12661.34,4.41,5481.53,1.93,13215.01,7.4,13215.01,4.43,11184.49,7.4,68,103,40,64,113,32,76,90,59,0,0,0,true,true,"Fixed Percent","Fixed Percent",4.3,4.5,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
104743.82,104.74,71207.62,71.21,33536.2,33.54,798235.85,798.24,416863.12,416.86,381372.72,381.37,693492.02,693.49,345655.5,345.66,347836.53,347.84,53552.21,24.69,484715.1,484.72,0.257,0.54,1.151,1.206,1.096,22,18,22,0,0,36143.75,17602.4,18541.35,225,116,109,0,0,0,123,67,56,102,49,53,54.67,57.76,51.38,465.53,0.47,613.86,0.61,307.67,0.31,6489.72,6.49,6221.84,6.22,6810.23,6.81,6798.94,6.8,7054.19,7.05,6562.95,6.56,0.955,0.882,1.038,9837.51,4.31,9837.51,4.31,9149.12,4.01,10430.11,7.4,10430.11,4.43,8981.17,7.4,85,95,75,83,102,61,88,86,89,0,0,0,true,true,"Fixed Percent","Fixed Percent",4.3,4.4,3.7,4.1,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
